collectivite_id,nom,siren,departement_code,region_code,etoiles_cae,etoiles_eci,nom_epci,departement,nature_juridique,regime_fiscal,population_dgf,population_insee,revenu,potentiel_fiscal,potentiel_fiscal_hab,cif
5213,CC du Pays du Coquelicot,248000747,80,32,1,0,CC DU PAYS DU COQUELICOT,80,CC,FPU,29013.0,28330.0,419379265.0,9605607.0,331.079413,0.432934
4762,CC du Saulnois,245701206,57,44,1,0,CC DU SAULNOIS,57,CC,FPU,29290.0,28933.0,419022881.0,6173549.0,210.773267,0.362992
4108,CA du Grand Guéret,200034825,23,75,1,0,CA DU GRAND GUERET,23,CA,FPU,31125.0,29508.0,433467407.0,10415125.0,334.62249,0.444913
5273,CC Pays d'Apt-Luberon,200040624,84,93,1,0,CC PAYS D'APT-LUBÉRON,84,CC,FPU,34545.0,28914.0,516440663.0,14993496.0,434.027964,0.381727
4996,CC du Pays Mornantais (COPAMO),246900740,69,84,1,0,CC DU PAYS MORNANTAIS,69,CC,FPU,30691.0,30406.0,629239578.0,8919004.0,290.606497,0.403324
3996,CC de Bayeux Intercom,241400555,14,28,1,0,BAYEUX INTERCOM,14,CC,FPU,32316.0,30602.0,539513158.0,12490503.0,386.511418,0.581968
5182,CC du Pays Houdanais (CCPH),247800550,78,11,1,0,CC DU PAYS HOUDANAIS,78,CC,FPU,31876.0,30906.0,678651120.0,10989013.0,344.742534,0.427689
3929,CC Couserans-Pyrénées,200067940,9,76,1,0,CC COUSERANS-PYRÉNÉES,09,CC,FPU,41240.0,30880.0,418122327.0,10525254.0,255.219544,0.538565
5206,CC du Territoire Nord Picardie,200070951,80,32,1,1,CC DU TERRITOIRE NORD PICARDIE,80,CC,FPU,31811.0,31392.0,472456943.0,9548375.0,300.159536,0.446715
3924,CA Pays Foix-Varilhes,200067791,9,76,1,0,CA PAYS FOIX-VARILHES,09,CA,FPU,35376.0,33459.0,538442584.0,14215275.0,401.83387,0.439376
